Gene_Id,Chr,Start,End,ExonLength,P-Value,t,Corrected P-Value,log2TPMRatio
ENSG00000157191.15,chr1,16767166,16786572,5105,1.218068041403143e-05,17.0,0.0003735845523237869,-2.5519651392059512
ENSG00000117118.5,chr1,17345216,17380664,2462,0.00017379536025642983,35.0,9.278518298964171e-05,-1.1255305780395326
ENSG00000227751.1,chr1,17733255,17733877,311,0.1905498599912826,183.0,0.0006398703779599825,0.4861103192702815
ENSG00000270136.1,chr1,19923472,19984548,2229,0.6296571659649659,130.0,0.00017559302433546752,-0.2150845576337717
ENSG00000226396.1,chr1,19934607,19935061,455,0.3348359525493185,116.0,0.023803013641493845,-0.4548144954671605
ENSG00000158825.5,chr1,20915440,20945400,963,0.21498754421706923,181.0,0.0028118080741706096,0.21871549626314188
ENSG00000127483.13,chr1,21069153,21113815,7442,3.92276040835382e-06,10.0,2.2062025566606188e-05,-2.5082760025260558
ENSG00000203394.2,chr1,21069479,21070454,572,0.011898292309592337,71.0,5.155151709448548e-05,-2.0996426342035215
ENSG00000070831.11,chr1,22379119,22419436,3333,0.014465515076215992,73.0,0.021829773204183365,-0.5099650723702961
ENSG00000173372.12,chr1,22962998,22966100,1272,1.309142235761676e-05,18.0,0.025829686081049262,-8.076295595515823
ENSG00000125944.14,chr1,23630263,23670828,8676,7.546596172309223e-06,14.0,9.939624929129974e-05,-2.6311981806972398
ENSG00000142676.8,chr1,24018268,24022914,1987,1.039583522056031e-05,273.0,7.401407958423359e-05,0.8423266313599354
ENSG00000011007.8,chr1,24069644,24088548,5391,0.0001317137139250871,33.0,8.520544096851463e-05,-1.8484907773266412
ENSG00000057757.5,chr1,24104894,24114721,2186,0.8094596747879748,137.0,0.0005182526877849695,-0.2951804443436547
ENSG00000179163.11,chr1,24171566,24194783,2047,0.03703051824391992,205.5,0.0004617638183012953,0.8771789650866646
ENSG00000169504.10,chr1,25071847,25170814,4495,0.40843843531142543,169.0,0.03877301958617259,0.9602292828993122
ENSG00000117614.5,chr1,25549169,25558992,3370,0.00011447044428680526,32.0,0.013001402458230895,-1.384339264845627
ENSG00000117616.13,chr1,25568727,25664703,4829,7.534515534172178e-06,14.0,0.0004617638183012953,-2.9237660734258744
ENSG00000183726.6,chr1,25664407,25688851,3052,0.002730200672752527,57.0,7.401407958423359e-05,-1.126912294447771
ENSG00000255054.3,chr1,26137960,26150234,792,0.053385232955773215,88.0,0.00613039734796659,-1.0503790975549716
ENSG00000158062.16,chr1,26607818,26644853,4471,0.0005724273914139214,44.0,0.021829773204183365,-0.4146006973600801
ENSG00000169442.4,chr1,26644447,26647013,935,0.270377764315757,112.0,0.0016596816679807383,-0.48842528883926295
ENSG00000117676.9,chr1,26856251,26901520,5476,4.627805182410348e-06,11.0,2.1962357372454963e-05,-4.273807867543771
ENSG00000117713.13,chr1,27022523,27108594,9246,0.07898257926378298,93.0,5.6945326899739006e-05,-0.9076571884525019
ENSG00000158195.6,chr1,27730729,27816668,5666,7.054087623401141e-07,0.0,6.372303094166053e-05,-3.6530366851010636
ENSG00000000938.8,chr1,27938574,27961787,3474,1.218068041403143e-05,17.0,2.1962357372454963e-05,-2.8789238694518278
ENSG00000126709.10,chr1,27992571,27998728,865,0.13858742145056965,101.0,9.278518298964171e-05,-0.5784809861708362
ENSG00000117758.9,chr1,28099693,28150962,3846,0.0019341957735895705,54.0,0.008177112890737316,-0.8308863647059379
ENSG00000130775.11,chr1,28199054,28213195,4620,1.218068041403143e-05,17.0,0.0045815877480381295,-2.029461910000775
ENSG00000117748.5,chr1,28218034,28241256,2019,0.009787014521077043,69.0,9.278518298964171e-05,-1.3466023114565697
ENSG00000158161.11,chr1,28296854,28415206,6483,0.20251790805580394,182.0,0.018426120277303736,0.5608834615303098
ENSG00000204138.8,chr1,28696113,28826880,6905,0.027497206094166747,80.0,0.011368605316463474,-0.9947552981737728
ENSG00000242125.2,chr1,28832491,28837403,4088,0.4282433481958351,168.0,0.045249925175892,0.29324640068755964
ENSG00000120656.7,chr1,28915834,28969596,1906,0.7175876486366535,133.5,0.014979454107207163,-0.4609090893643697
ENSG00000116350.11,chr1,29474254,29508498,3211,0.001003268246983443,48.5,0.0003038006923671879,-2.7023379857464502
ENSG00000162511.7,chr1,31205315,31230666,3274,7.054087623401141e-07,0.0,0.002698064578409387,-2.591703362598536
ENSG00000134644.11,chr1,31404352,31538837,6016,0.01917248475522309,76.0,2.1962357372454963e-05,-1.7978865979390273
ENSG00000121766.10,chr1,31769841,31837782,1891,0.7045626483951932,133.0,0.03302679419958408,-0.16807388500744772
ENSG00000184007.13,chr1,32372021,32410456,5764,0.002173250199988411,55.0,0.003422249308995676,-0.9986453183562852
ENSG00000212673.1,chr1,32379173,32380744,1572,0.0009274990713466306,48.0,0.005071281528041367,-8.252899026905375
ENSG00000121774.13,chr1,32479429,32526450,3588,0.00029853162333987797,39.0,0.002542772180675155,-1.2191259511127968
ENSG00000025800.9,chr1,32573638,32642168,7687,3.577100422596288e-05,24.0,0.0009773381797273776,-1.5586069852728475
ENSG00000084652.11,chr1,32645286,32663885,5103,0.00022829179873788826,37.0,0.00019385711285542268,-2.3668638025346413
ENSG00000084623.7,chr1,32687528,32697204,1725,0.09827195171994678,96.0,0.0007938872971102425,-0.2102013244161575
ENSG00000175130.6,chr1,32799432,32801979,1699,0.7565491905346781,135.0,0.00041794081113741033,0.33734108629015574
ENSG00000176261.11,chr1,33065772,33116503,3006,0.6296571659649659,159.0,7.401407958423359e-05,0.058225704648128054
ENSG00000162520.10,chr1,33145506,33169196,3941,0.0005036704754827805,43.0,0.00021746387358800937,-1.7081087846582583
ENSG00000134684.6,chr1,33240839,33283753,8210,0.01192426068105209,71.0,0.0014901322294417212,-1.5892385291933229
ENSG00000116514.12,chr1,33402045,33430285,2610,0.03563609888416877,206.0,0.021829773204183365,1.9462217282544763
ENSG00000271741.1,chr1,35447133,35497341,3099,0.6053984249544725,129.0,0.0003038006923671879,-0.09962676186459861
ENSG00000092847.6,chr1,36335408,36395210,12886,0.22800122547274193,109.0,0.016913321632920454,-1.4541789679895676
ENSG00000054118.9,chr1,36690016,36770957,4736,0.00011447044428680526,32.0,0.00017559302433546752,-1.5718123021936736
ENSG00000196182.6,chr1,36805224,36851496,5153,1.4255728073139468e-05,18.0,0.0004617638183012953,-3.6407350700662566
ENSG00000181817.5,chr1,36856838,36863492,1496,2.6443751951656924e-05,22.0,0.00010253073260665735,-1.631118535755354
ENSG00000116898.7,chr1,36921318,36930037,2916,0.01179468297684309,71.0,0.0001586967209621429,-1.375413184163716
ENSG00000119535.13,chr1,36931643,36948878,8426,6.45715634132458e-05,261.0,0.021829773204183365,1.3713361919698157
ENSG00000163875.11,chr1,37958175,37980374,3429,0.0003408076032308285,40.0,0.0003038006923671879,-2.0830798535327784
ENSG00000134697.8,chr1,38032416,38061535,5745,0.010808764903168162,70.0,0.001083623352561901,-1.9714439170266154
ENSG00000188786.9,chr1,38275238,38325291,8024,0.002730200672752527,57.0,0.0200808411637153,-1.5350611036054909
ENSG00000230955.1,chr1,38326368,38327251,481,0.49904010169693314,124.5,0.00613039734796659,-0.770078379878339
ENSG00000183520.7,chr1,38474929,38490495,3385,0.8768152185121254,139.5,0.00017559302433546752,-0.19195985207657631
ENSG00000174574.11,chr1,39456894,39471730,2741,0.945075326058844,147.0,0.03302679419958408,-0.019996379164276264
ENSG00000243970.1,chr1,39997509,40024378,813,0.018988994863692016,76.0,0.0016596816679807383,-1.236072806407554
ENSG00000090621.9,chr1,40026487,40042461,6782,5.453339789575174e-06,12.0,0.03302679419958408,-1.6759226024630425
ENSG00000228060.1,chr1,40030831,40038874,551,0.002689388604230213,57.0,6.372303094166053e-05,-1.249367537179177
ENSG00000084072.12,chr1,40157853,40229585,7631,0.027497206094166747,80.0,0.00613039734796659,-0.8816134646102527
ENSG00000131236.12,chr1,40505904,40538320,3730,7.054087623401141e-07,0.0,0.045249925175892,-2.292364108629246
ENSG00000131238.12,chr1,40538378,40563374,3304,0.09827195171994678,96.0,2.1962357372454963e-05,-0.44035061472239134
ENSG00000084073.4,chr1,40723778,40759855,3572,0.005258135805303306,63.0,0.006784290231668407,-1.316673215812466
ENSG00000084070.7,chr1,40810521,40888997,3436,9.93724325683474e-05,31.0,0.010797723070452797,-1.2893896228055437
ENSG00000213172.3,chr1,40830437,40830854,418,1.117131914489327e-05,17.0,0.00041794081113741033,-5.182917489609427
ENSG00000066136.15,chr1,41157319,41237274,4780,0.000944426916857791,48.0,9.123899562176034e-05,-1.9870316680371485
ENSG00000127125.7,chr1,42921787,42939055,2526,0.001935743045086168,54.0,0.002542772180675155,-0.9876365277173775
ENSG00000236876.2,chr1,42965875,42966066,192,0.01192426068105209,71.0,0.0045815877480381295,-0.7786028331013369
ENSG00000065978.13,chr1,43148097,43168019,1930,0.0008347042748786486,47.0,0.021829773204183365,-0.8973773632033804
ENSG00000066322.8,chr1,43829067,43833695,2458,3.0773254749889e-05,23.0,0.002299402096889579,-2.0976786604997057
ENSG00000159479.12,chr1,43849587,43855478,2704,0.6296309968115499,130.0,0.00017559302433546752,-0.079449984671262
ENSG00000117419.10,chr1,44686741,44820931,2472,0.009781416571877689,69.0,2.2928628664720926e-05,-1.9334567222347385
ENSG00000199377.1,chr1,45187457,45187573,117,4.093887763502619e-05,263.0,0.018426120277303736,4.323465925882315
ENSG00000225721.1,chr1,45224708,45241481,765,0.07898257926378298,196.0,0.00021746387358800937,0.29472953960608345
ENSG00000173846.8,chr1,45265896,45271661,3479,0.00026120660215923273,38.0,0.00027568302628420684,-1.3921631243041293
ENSG00000222009.4,chr1,45274153,45281256,3311,0.25569025172346616,178.0,0.0008793450126391006,0.8722793610498167
ENSG00000117450.9,chr1,45976707,45988718,1522,0.3705028575983408,171.0,0.0018585858808977613,0.11666757745183884
ENSG00000159592.6,chr1,46092975,46153784,7388,1.039583522056031e-05,16.0,0.00021746387358800937,-2.3796727586295656
ENSG00000159596.6,chr1,46152885,46160114,2439,0.11282684132443233,191.0,8.520544096851463e-05,0.802821766098116
ENSG00000079277.15,chr1,47023089,47082514,7373,0.002730200672752527,57.0,8.520544096851463e-05,-1.0248580259700393
ENSG00000159658.6,chr1,47124365,47184823,6526,0.6543221444173015,131.0,0.00613039734796659,0.09794633315942596
ENSG00000085832.12,chr1,51819934,51984999,7551,0.3523838403888018,117.0,0.03574922236013993,-0.5503920381642411
ENSG00000117862.7,chr1,52485802,52521842,3630,1.9460018313221023e-05,20.0,0.00021746387358800937,-1.3015335006885578
ENSG00000134748.12,chr1,52870235,52886510,5658,0.21498754421706923,108.0,0.00012750709739411346,-0.9219535672663467
ENSG00000116171.12,chr1,53392900,53517374,8225,0.07328307936662666,92.0,0.0005756303582187218,-0.27926648576750446
ENSG00000116209.7,chr1,54497346,54519176,4156,0.004252291661538168,61.0,0.03302679419958408,-0.41846301464690877
ENSG00000162601.5,chr1,59120410,59165763,8569,0.4282433481958351,168.0,0.008982869315972478,0.2713421394798591
ENSG00000066557.5,chr1,70610487,70671302,2884,0.7565672012945115,135.0,0.0014901322294417212,-0.008245302880266588
ENSG00000226415.1,chr1,77165473,77166222,750,6.45715634132458e-05,28.0,0.018426120277303736,-0.7873751515998975
ENSG00000142892.10,chr1,77554674,77685114,5513,0.21428599529332581,181.0,0.0003038006923671879,0.5869659142692483
ENSG00000137959.11,chr1,79085606,79111829,9951,0.6053984249544725,160.0,2.1962357372454963e-05,0.23157571950678543
ENSG00000117133.6,chr1,84944941,84963472,1728,0.038711194690828656,84.0,0.018426120277303736,-0.9418211544224973
ENSG00000162642.9,chr1,85715638,85725354,3417,0.042136612058908826,85.0,0.04874718541937814,-1.1080139987169124
ENSG00000137947.7,chr1,89318614,89357626,1763,0.0457464980096626,86.0,0.0028118080741706096,-0.5369330224286426
ENSG00000162645.8,chr1,89571814,89616138,6276,0.001358866830603586,51.0,0.0418158112378125,-0.9300221568039582
ENSG00000162654.8,chr1,89646830,89664614,6127,8.616845677655788e-05,30.0,0.003422249308995676,-1.9536157044599771
ENSG00000154451.10,chr1,89724632,89738543,8200,0.17917558119962895,105.0,0.0003735845523237869,-0.5486762800132785
ENSG00000122482.16,chr1,91380858,91487828,6725,0.09827195171994678,96.0,0.01425555634319789,-0.9420397681593834
ENSG00000122406.8,chr1,93297581,93307480,2890,0.001358866830603586,238.0,0.00041794081113741033,0.39704845864060195
ENSG00000143033.13,chr1,93544791,93604637,5752,0.0002257781108453462,37.0,0.003422249308995676,-2.555758255796225
ENSG00000117500.8,chr1,93615298,93646284,9423,0.4694868880489569,123.0,0.0007938872971102425,-0.22570169059575573
ENSG00000223745.3,chr1,93727742,93811581,3754,0.01917248475522309,76.0,0.021829773204183365,-1.5376371702856741
ENSG00000117505.8,chr1,93811444,93835054,10949,0.030011201025596887,81.0,0.03302679419958408,-0.8438695352779175
ENSG00000067334.9,chr1,94333372,94345473,5985,0.5352686001887101,163.0,0.04874718541937814,0.30248288077770075
ENSG00000117569.14,chr1,97187220,97289293,13018,0.0034147911781178164,230.0,0.00024368274392717608,1.3456653385273147
ENSG00000188641.8,chr1,97543298,98386604,6117,0.07328307936662666,197.0,0.007475798147847357,0.8251503011698027
ENSG00000162695.7,chr1,101361631,101447308,8376,0.38918941278422226,170.0,0.0007938872971102425,0.5430514601926781
ENSG00000116266.6,chr1,109289295,109352147,5895,0.38918941278422226,119.0,2.1962357372454963e-05,-0.1372674137171404
ENSG00000197780.5,chr1,109605107,109618623,1400,0.03877073678127161,205.0,0.00613039734796659,0.6523794498113793
ENSG00000134243.7,chr1,109852191,109940572,8635,0.270377764315757,112.0,7.98306752337573e-05,-1.1202474933804165
ENSG00000116337.11,chr1,110158725,110174672,5572,8.862426761238416e-06,15.0,0.002299402096889579,-3.3424506928011346
ENSG00000228703.1,chr1,110171038,110172926,688,2.7893327648265144e-06,8.0,7.98306752337573e-05,-5.470417338705025
ENSG00000168710.13,chr1,110527307,110566356,4736,0.9450795155118642,142.0,4.1105696714968325e-05,0.19131671390436755
ENSG00000134248.9,chr1,110943870,110950563,2388,0.6543221444173015,131.0,0.018426120277303736,-0.09245391727285797
ENSG00000273221.1,chr1,111727036,111727682,647,5.507505192617393e-05,27.0,0.0013352266187559923,-3.46275297117788
ENSG00000116459.6,chr1,111991485,112005394,3383,0.5352686001887101,126.0,0.00027568302628420684,-0.02546755537044774
ENSG00000116489.8,chr1,113161794,113214240,4130,0.007998053620626356,222.0,0.03574922236013993,0.4372630207105966
ENSG00000235299.2,chr1,113168527,113168845,319,0.044360408097420555,86.0,0.015530753765628158,-0.9065897448573947
ENSG00000155366.12,chr1,113243727,113250055,3869,7.054087623401141e-07,0.0,0.033272648590418175,-4.786135826840191
ENSG00000271810.1,chr1,113245235,113254054,1078,7.054087623401141e-07,0.0,2.4850032823867354e-05,-5.681167687865333
ENSG00000134262.8,chr1,114437369,114447822,5864,0.017472848913046686,75.0,7.006319453643274e-05,-2.166848931755441
ENSG00000163349.17,chr1,114471813,114520425,9061,0.06792452638048044,198.0,2.1962357372454963e-05,0.3264945534997617
ENSG00000197323.6,chr1,114935398,115053780,9574,0.09827195171994678,96.0,2.1962357372454963e-05,-0.9371326284404304
ENSG00000116752.5,chr1,115110177,115124259,1299,0.3523838403888018,172.0,0.03048384584716945,0.3089014382374887
ENSG00000116815.11,chr1,117057156,117113660,1783,0.06289249742604815,199.0,0.002074341256936683,0.7405214097004088
ENSG00000134256.8,chr1,117544381,117579166,3771,0.0002272838803237031,37.0,2.1962357372454963e-05,-3.7762414442066072
ENSG00000196505.6,chr1,118406106,118472252,10496,0.05817269785996583,89.0,2.2928628664720926e-05,-1.032546863317639
ENSG00000117289.7,chr1,145438468,145442634,3626,2.6443751951656924e-05,22.0,0.0007938872971102425,-2.338986006782221
ENSG00000264584.1,chr1,150541448,150541744,297,0.9313275522178609,147.5,0.0001586967209621429,0.15270294249173733
ENSG00000143437.16,chr1,150782180,150849243,6516,0.13858742145056965,101.0,0.028036318240594015,-0.3677978907781625
ENSG00000143418.15,chr1,150933058,150947478,4643,5.551045079736769e-05,27.0,0.04874718541937814,-2.0364304749164583
ENSG00000259357.1,chr1,150937735,150938733,765,4.13090564013588e-05,25.0,0.028036318240594015,-1.3765486551436834
ENSG00000197622.8,chr1,151023446,151042800,4184,0.00029853162333987797,39.0,0.00027568302628420684,-1.003683856571353
ENSG00000163154.5,chr1,151129104,151132224,1178,0.5814520335759507,161.0,0.00021746387358800937,0.052395323628759
ENSG00000159352.11,chr1,151227178,151239954,3027,1.218068041403143e-05,17.0,0.0009773381797273776,-2.1090125905617105
ENSG00000159377.6,chr1,151372009,151374419,2158,0.1578955514932796,186.0,9.278518298964171e-05,0.08639541112149135
ENSG00000143442.17,chr1,151375199,151431940,9960,0.5128366746384507,125.0,0.03048384584716945,-0.30734510852560243
ENSG00000197747.4,chr1,151955390,151966865,1543,0.0015306708368003504,237.0,0.013001402458230895,0.6380565572622702
ENSG00000163191.5,chr1,152004981,152020382,680,0.4282433481958351,168.0,0.001655529684600767,0.13231826873569047
ENSG00000163220.10,chr1,153330329,153333502,577,1.4205862748343522e-06,285.0,0.00019385711285542268,3.8983745666010994
ENSG00000143546.5,chr1,153362507,153363663,1006,7.054087623401141e-07,289.0,0.0037709941645867368,6.810033485443669
ENSG00000196154.7,chr1,153516088,153522611,1025,0.03563609888416877,206.0,2.7344812153346722e-05,0.2697200932447177
ENSG00000160679.8,chr1,153606524,153618781,5558,0.12115137160356154,99.0,2.1962357372454963e-05,-1.4199875043284917
ENSG00000143553.6,chr1,153631129,153634305,1544,0.031327700082735374,81.5,2.1962357372454963e-05,-1.2508527207149862
ENSG00000143621.12,chr1,153634511,153643523,2033,0.04961349439304574,87.0,0.00014286855681024167,-0.3969614537617331
ENSG00000143549.15,chr1,154127783,154167123,7377,7.054087623401141e-07,0.0,0.0003735845523237869,-2.9451145800257064
ENSG00000143612.14,chr1,154179181,154193103,2460,6.418809587838739e-06,13.0,2.2928628664720926e-05,-1.9601980246636033
ENSG00000143575.10,chr1,154244986,154248350,2155,3.0730308360335915e-05,23.0,0.03877301958617259,-1.4397934657759603
ENSG00000160710.11,chr1,154554537,154600474,8211,0.21498754421706923,108.0,2.1962357372454963e-05,-0.11666687704997546
ENSG00000169241.13,chr1,155107819,155111328,2320,0.03272027315980588,82.0,7.006319453643274e-05,-0.8319441585949093
ENSG00000179085.7,chr1,155112366,155113070,622,0.6529311900616446,131.0,0.0007111962593542912,-0.2875832673825317
ENSG00000163463.7,chr1,155141883,155145950,3826,0.25569025172346616,111.0,0.00017559302433546752,-0.3087334052659376
ENSG00000143622.6,chr1,155867598,155881194,3919,4.627805182410348e-06,278.0,0.0004617638183012953,1.2700616473995492
ENSG00000163479.9,chr1,155978838,155990749,6651,0.6296571659649659,159.0,0.018426120277303736,0.06729044512758181
ENSG00000116586.7,chr1,156024542,156028300,1438,0.6053984249544725,160.0,0.007475798147847357,-0.051087503779569235
ENSG00000196189.8,chr1,156117156,156147542,6302,1.4255728073139468e-05,18.0,5.6945326899739006e-05,-2.1159093566189426
ENSG00000198715.7,chr1,156259879,156265462,3224,0.07898257926378298,93.0,0.045249925175892,-0.7464461646788608
ENSG00000163468.10,chr1,156278758,156337663,3743,0.00011447044428680526,32.0,0.00010253073260665735,-2.318823190707188
ENSG00000143319.12,chr1,156691682,156698590,5262,0.0010673839229606475,49.0,0.0009773381797273776,-1.5997217545740547
ENSG00000143314.8,chr1,156707094,156711381,1310,0.5127078218936275,125.0,0.0007938872971102425,-0.5801661025581093
ENSG00000143294.10,chr1,156720401,156770606,4010,0.003412335493878611,59.0,0.0004617638183012953,-1.7721107390068227
ENSG00000117036.7,chr1,157090982,157108265,6707,0.005272007491824873,226.0,0.0028118080741706096,0.9551902749472857
ENSG00000158710.10,chr1,159887896,159895521,2487,7.546596172309223e-06,14.0,0.007475798147847357,-1.4351307625210012
ENSG00000162734.8,chr1,160175126,160185165,2806,0.0012050082239624452,50.0,0.010797723070452797,-0.9666875971650968
ENSG00000132716.14,chr1,160185504,160254919,8274,6.45715634132458e-05,28.0,0.004380754214999734,-2.754949873213997
ENSG00000258465.2,chr1,160187253,160254919,2875,1.4041946770064489e-05,18.0,0.00014286855681024167,-2.3585541575595084
ENSG00000162735.14,chr1,160246601,160256137,4360,0.20182747344731455,107.0,7.401407958423359e-05,-0.42793783234088134
ENSG00000122218.10,chr1,160259062,160313189,6232,0.0015306708368003504,52.0,0.0031055739727565462,-0.9568606259413096
ENSG00000162736.11,chr1,160313061,160328741,3948,0.000944426916857791,48.0,0.0003038006923671879,-0.42915674612631394
ENSG00000228863.4,chr1,160640567,160653697,1933,0.11310215988839718,98.0,0.00010253073260665735,-0.3741986723720432
ENSG00000117091.5,chr1,160648535,160681640,2494,0.0038126956634328114,60.0,0.0003038006923671879,-0.3820660348278663
ENSG00000122223.8,chr1,160799949,160832691,2904,0.005860562896855928,64.0,0.0037709941645867368,-2.0414722368697538
ENSG00000158769.13,chr1,160965000,160991137,5066,0.3523838403888018,117.0,0.002542772180675155,0.01776403407276761
ENSG00000215845.6,chr1,161007420,161008779,1210,2.3300689009990803e-05,21.5,0.008177112890737316,-2.9469979430239723
ENSG00000158773.10,chr1,161009040,161015766,2336,0.0012008345275565172,50.0,7.401407958423359e-05,-3.0354341320442475
ENSG00000186517.9,chr1,161016735,161039759,5064,1.0033437419569623e-06,2.0,0.011830788197787054,-3.8610530332120545
ENSG00000158796.12,chr1,161090763,161102477,2742,0.4694868880489569,166.0,0.00014626778933335226,0.20071939858934804
ENSG00000143222.7,chr1,161122565,161128645,2274,0.4909046772325092,165.0,0.0031055739727565462,0.17820779920612248
ENSG00000224985.1,chr1,161123549,161129138,379,0.8904189322440568,149.0,2.2928628664720926e-05,0.09047971150132086
ENSG00000158850.10,chr1,161141099,161147286,3419,3.557477155905295e-05,24.0,0.00613039734796659,-3.2462400021186912
ENSG00000158864.8,chr1,161166893,161184184,3997,3.0773254749889e-05,23.0,0.03574922236013993,-1.9315078170437259
ENSG00000158882.8,chr1,161195792,161200407,3099,0.04961349439304574,87.0,0.00019385711285542268,-1.5311087863497375
ENSG00000143252.10,chr1,161284046,161332983,1896,9.93724325683474e-05,31.0,0.00017559302433546752,-2.975600026103529
ENSG00000118217.5,chr1,161736083,161933859,7890,0.3523838403888018,117.0,0.00041794081113741033,-0.573089737388734
ENSG00000143149.8,chr1,165631452,165668099,3308,2.2372437513025695e-05,21.0,2.1962357372454963e-05,-5.063207122907352
ENSG00000143157.7,chr1,166808680,166825580,8324,0.007998053620626356,67.0,0.002299402096889579,-1.0221138397788083
ENSG00000198771.6,chr1,167599329,167675485,5443,0.00022803951330514416,37.0,0.00014286855681024167,-2.70570165309687
ENSG00000143158.6,chr1,167885966,167906277,2552,0.0019295586468188793,54.0,0.0007744834839697991,-0.8916644801471381
ENSG00000143155.8,chr1,168148170,168169949,1818,0.13855727324927866,101.0,0.03877301958617259,-0.6888295856284989
ENSG00000213064.5,chr1,168195175,168222262,11221,0.24156658696897282,110.0,0.015530753765628158,-0.5495573064374697
ENSG00000214262.4,chr1,168214802,168216580,1779,0.043749004212406024,203.5,0.0013352266187559923,0.633989338959072
ENSG00000188404.4,chr1,169659807,169680838,2725,1.6874481024034055e-06,284.0,0.0007938872971102425,2.665752312798469
ENSG00000117523.11,chr1,171454650,171562649,14192,0.008852240768426571,68.0,0.0045815877480381295,-0.6308341353467433
ENSG00000135870.7,chr1,173900351,173991434,11508,0.00017379536025642983,254.0,2.999261205766053e-05,1.6528517123268545
ENSG00000116161.13,chr1,174968299,174980850,4510,0.014465515076215992,73.0,0.016913321632920454,-0.6842424751950319
ENSG00000120333.4,chr1,174979924,174992560,2594,0.00272200831142714,57.0,0.013598137250954462,-1.8001012875967315
ENSG00000169905.8,chr1,179809101,179846937,14734,0.06792452638048044,91.0,0.008177112890737316,-0.45924196350290725
ENSG00000143337.14,chr1,179851176,179894134,9570,7.546596172309223e-06,14.0,0.0006398703779599825,-1.7214264937573829
ENSG00000153029.10,chr1,181003066,181031073,9264,0.00038863449144938765,41.0,0.025829686081049262,-1.3206531739120917
ENSG00000162783.8,chr1,181057637,181059976,2340,0.6296571659649659,130.0,0.00613039734796659,-0.29713257571841184
ENSG00000231684.2,chr1,182305135,182305474,340,0.01917248475522309,76.0,0.001083623352561901,-1.1023188022879762
